Model,Accuracy,Precision,Recall,F1 Score
Gaussian Naive Bayes,1.0,1.0,1.0,1.0
Decision Tree,0.9982935153583617,0.998303066578371,0.9982935153583617,0.998294863796993
Random Forest,0.9977246871444824,0.9977416354711529,0.9977246871444824,0.9977270796300122
Logistic Regression,0.997155858930603,0.9971551123911031,0.997155858930603,0.997155103853242
SVM,0.9954493742889647,0.9954493742889647,0.9954493742889647,0.9954493742889647
KNN,0.9732650739476678,0.9749937269668497,0.9732650739476678,0.9735326574979356
